name,Gender,Re-Electionist,Year Elected
"MORRO, APOLO",male,no,
"SAMPIANO, AMER",male,yes,
"SAMPIANO, QUIRINO",male,no,
"ABDULLAH, MAHMOD",male,no,
"BAGUL, BENJAMIN",male,yes,
"RAMOS, LININDING",male,no,
"TOMARA, SOCOR",male,no,
"AMPATUA, MAYA",male,yes,
"BALT, ASLANI",male,no,
"MACADAUB, CAIRON",male,no,
"SANGCOPAN, CAMIL",male,no,
"SARIP, BRYAN",male,no,
"BASSAR, SAMEN",male,no,
"DATUMOLOK, AMAN MISBAC",male,yes,
"DATUMULOK, ABDULLAH",male,yes,
"DIMAPORO, MOHAMMAD HOSNI",male,yes,
"RARACO, SALAC",male,no,
"ASISOR, ANISAH",male,no,
"DADAYAN, NORON",female,yes,
"MAMAROBA, LINDY",male,no,
"MANDOMA, ANSHARY",male,no,
"LANGGOYO, DANNY",male,no,
"MACAPUNDAG, WAHAB",male,no,
"MUNDER, ALFAIS",male,yes,
"MANABILANG, JAMAL",male,yes,
"ABOCA, ZAPATA",male,no,
"AMATONDING, FAIZA",male,no,
"BAO, EDRIS",male,no,
"COSAIN, ABDULRAHMAN",male,no,
"MACADATO, IBRAHIM",male,no,
"MACADATO, NASSIF",male,no,
"MAMA, MAMASAO",male,no,
"PANSAR, DIMNATANG",male,no,
"BENITO, MACAPADO SR.",male,yes,
"ADIONG, SAIDAMEN",male,no,
"GULAM, ACSAPALA",male,no,
"MACARAMPAT, ANNA-MAHLYNE",female,yes,
"MACARAMPAT, MACABAWI",male,no,
"PANARIGAN, QAREEB",male,no,
"PANDAPATAN, BACRAINIE",male,no,
"DIANGKA, FAHAD",male,no,
"MACAPODI, AL-RASHID",male,yes,
"DIDATO, ALEXANDER",male,no,
"GAURAKI, HAMZA",male,no,
"GAURAKI, OMAR ABUBACAR",male,no,
"BANSIL, MASSER",male,no,
"MAGLANGIT, NHAZRUDDIN",male,no,
"DAGALANGIT, AMIALONGAN",male,no,
"DAGALANGIT, GAMBAI",male,yes,
"DIANATON, MANGATHA",male,no,
"MACALA, ABDUL RASHID",male,no,
"RASUL, FATAH",male,no,
"ALAWI, ALINAIR",male,no,
"DATU-DACULA, ANIRAINI",male,no,
"GURO, CALIL",male,no,
"GURO, ISMAEL",male,no,
"GURO, ITO MAMA",male,no,
"GURO, OMIRA",male,no,
"GURO, SARIPODEN",male,no,
"GURO, SOMERADO",male,no,
"MACUGAR, MAMA",male,no,
"DUMAGAY, MELANIE",female,no,
"GORONDAYA, MOHAIMEN",male,no,
"IBRAHIM, ABULALI",male,no,
"LAO, ALLAN",male,no,
"MIPANGCAT, PAO",male,no,
"RAZUMAN, SITTIEHAYA",male,no,
"ASUM, SALAMONA",male,no,
"GUNTING, ANSARY",male,no,
"GUNTING, SIMPAN",male,no,
"SALO, ALEXANDER",male,no,
"ANGNI, NORMILA",female,no,
"BANSAO, ABDULSANI",male,no,
"GUINAL, NORMILAH",female,no,
"MINDALANO, NORHATA",female,no,
"MINDALANO-SARANGANI, SORAIDA",female,no,
"SARANGANI, ALMYRAH",female,no,
"SARANGANI, FARIDAH",female,no,
"SARANGANI, SITTIE AISAH",female,no,
"SARANGANI, USMAN SR.",male,no,
"TANGGINO, IBRAHIM",male,no,
"AMOL, MALOBAY",male,no,
"MACAPANTON, TAHIR",male,no,
"MINDALANO, DAGOROAN",male,no,
"SARANGANI, MANLY",male,no,
"ABINAL, JOHAIRAH",female,yes,
"AMPUAN, MAGRARA",male,no,
"H. RAKIM, HADJI MOHAYSEN",male,no,
"MOLOK, MAMAULAN",male,yes,
"YAHYA, ANSARI",male,yes,
"BALINDONG, AMER",male,no,
"BALINDONG, OMENSALAM",female,yes,
"GARO, TALHA",male,no,
"MALAWANI, HANDALA",male,no,
"ABINAL, RACMA",female,yes,
"ADIONG, SAMSON",male,no,
"ADTHA-MAGANGCONG, JASMIN",female,no,
"TAHIR, KIRAM",male,no,
"TANGGOTE, MOHAMMAD",male,no,
"ALI, SOLITARIO",male,yes,
"GANDAMRA, MAJUL",male,no,
"TOMAWIS, ISMAEL",male,no,
"AMEROL, ALIMONA",male,no,
"COSAIN, NAIMA",male,no,
"DIDATOON, ALIODEN",male,no,
"IBRAHIM, NORAIDA",female,no,
"MARUHOM, HAROUN",male,yes,
"GUILING, RAFFY",male,no,
"GUILING, ROMIL RMG",male,no,
"MAGARANG, ABDULGAFUR",male,no,
"PANGAMADUN, LOMINA",female,no,
"PANGANDAMAN, NASSER",male,no,
"PINTO, USTAD",male,no,
"SALIWATO, HADJI RIGARO",male,no,
"SHARIEF, ABDULAZIS",male,no,
"ABDULSALAM, ALI",male,no,
"ABDULSALAM, MACHOL",male,no,
"BABAO, JOHARY FAIZ",male,no,
"BATAO, MALIK",male,no,
"MARUHOM, MOJAHED",male,no,
"PANANDIGAN, JOHARY",male,no,
"PANGCATAN, LOMONTANA",male,no,
"AMPUAN, DATU AMANGODA",male,no,
"BALINDONG, ACMAD",male,no,
"BENITO, SAILANEY",male,no,
"DIAMAEL, HANIFAH",female,no,
"SARIF, BALI",male,no,
"BATO, ASNAWI",male,no,
"MANDALOG, SITTIE",male,no,
"SULTAN, ADIL",male,no,
"SUMANDAR, ALI",male,yes,
"BALINDONG, ALINADER",male,no,
"DOMADO, TOHAMY",male,no,
"IBRAHIM, YUSOPH",male,no,
"LUCMAN, ALIBASHA JR.",male,no,
"MANTA, CACAYADUN",male,no,
"PANDI, SADAT",male,no,
"SANGKUPAN, SANA",female,no,
"DIMAAYAO, ALYASSER",male,no,
"SAHABUDEN, MISOLAWAN",male,no,
"TANOG, DIANATON",male,no,
"TANOG, SHARIEFULLAH",male,no,
"LININDING, KHALID",male,no,
"MACABAGO, SABDULLAH",male,no,
"MARAORAO, AMER",male,no,
"MUTI, MACMOD",male,no,
"SALACOP, JAMAEL",male,no,
"AABASAGAN, NAJEB",male,no,
"ABARAO, AINAH",male,no,
"ABDULCATE, MORSHED",male,no,
"ABDULHAMID, DIAMOND",female,no,
"ABDULHAMID, HAMMAD",male,no,
"ASUM, ROHAYNEE",female,no,
"AWAL, NORAINA",female,no,
"BACARAMAN, NORAYAH",female,no,
"BONGAROS, RASMIA",female,no,
"DICASARAN, SITTIE",female,no,
"KURANGKING, AIMAN",male,no,
"KURANGKING, FATIMA",female,no,
"KURANGKING, JAMEL",male,no,
"KURANGKING, OMEL",male,no,
"MACAINDIG, MORAKAN",male,no,
"MANALI, CAMILO",male,no,
"PANDAPATAN, TAHA",female,no,
"PANONGGO, ACMAD",male,no,
"TAMANO, ABDULHADIALMAR",male,no,
"ABBAS, OGA",male,no,
"CAPAL, CANDIDATO",male,no,
"CAPAL, COSAIN",male,no,
"CAPAL, ESNAIRA",female,no,
"CAPAL, MISANGCAD",male,no,
"LUMPA, ALEX",male,no,
"SACAR, ABDAL",male,no,
"SACAR, DIMALIPOS",male,no,
"ALI, ZAMZAM",male,no,
"ALIPONTO, ACMAD JR.",male,no,
"CABUNTALAN, MALIK",male,no,
"DIMA, JAMAEL",male,no,
"DISOMIMBA, SITTIE AMINA",female,no,
"COLANGCAG, ALIMAR",male,no,
"COMADUG, SULTAN MALAILAH",male,no,
"MAMANGCAO, JOHAIMAH",male,no,
"SUMAGAYAN, AREEFAH",female,no,
"AMIL, FAIS",male,no,
"ANDAG, LIKAPAO",male,no,
"DIMAPORO, RAFAEL YASSIN",male,no,
"FAHAD, ABDELYUSOPH",male,no,
"PAPANDAYAN, KHALED YASSIN",male,yes,
"ABANGON, SUHAILI",male,no,
"DECAMPONG, SOLAIMAN",male,no,
"PACALNA, ALFATTAH",male,no,
"PANGCOGA, AYONAN",male,no,
"PUKUNUM, JAMILON",male,no,
"PUKUNUM, NAIP",male,no,
"SARIP, HASAN",male,no,
"BALICAO, BOBBY",male,no,
"CARUMBA-CATALAN, MARY RUTH",female,no,
"HADJI NASSER, LOMINOG",male,no,
"BANAAG, PERIOLO",male,no,
"JACOT, NESTOR",male,no,
"ABECIA, HELENIO",male,yes,
"ACLE, ROGERIO",male,no,
"JAJALLA, OGO",male,yes,
"ROMUALDO, JJ",male,no,
"ROMUALDO, NOORDIN",male,yes,
"CAMAY, AL",male,no,
"NUEVAS, CARLITO",male,no,
"UAYAN, JOSEPH",male,no,
"VALLAR, ARMI",male,no,
"ALCALA, MIMI",female,no,
"PAL-ING, GEROLD",male,no,
"SAMSON, TATA DALLY",female,no,
"TONG, FRANCIS MICHAEL",male,no,
"LUCERO, JOSE FELIX",male,no,
"VILLA, DANNY",male,yes,
"VILLA, RONNIE",male,no,
"ALJAS, AL",male,no,
"ENSONG, JOHN",male,no,
"LIGUTOM, LYDIO",male,no,
"MONTE, JAMES",male,no,
"ASOK, DONDON",male,yes,
"PADAYHAG, FREDERIC",male,no,
"CAPUNDAG, WILFREDO JR",male,yes,
"OCAY, DODONG",male,no,
"ADA, PAUL IVAR",male,no,
"QUEZON, RICHARD",male,no,
