city,province,name,Gender,votes,result
POONA BAYABAO  (GATA),LANAO DEL SUR,"IBRAHIM, YUSOPH",male,609,L
POONA BAYABAO  (GATA),LANAO DEL SUR,"LUCMAN, ALIBASHA JR.",male,43,L
POONA BAYABAO  (GATA),LANAO DEL SUR,"DOMADO, TOHAMY",male,10,L
POONA BAYABAO  (GATA),LANAO DEL SUR,"MANTA, CACAYADUN",male,1,L
POONA BAYABAO  (GATA),LANAO DEL SUR,"SANGKUPAN, SANA",female,0,L
PORAC,PAMPANGA,"DELA CRUZ, CARLING",male,26348,W
PORAC,PAMPANGA,"TAPANG, MICHAEL",male,20797,L
POZORRUBIO,PANGASINAN,"CHAN, ARTEMIO",male,15595,W
POZORRUBIO,PANGASINAN,"LAMBINO, RAUL",male,15028,L
POZORRUBIO,PANGASINAN,"VILLANUEVA, RUDY",male,3100,L
PUALAS,LANAO DEL SUR,"TANOG, SHARIEFULLAH",male,3971,W
PUALAS,LANAO DEL SUR,"TANOG, DIANATON",male,852,L
PUALAS,LANAO DEL SUR,"SAHABUDEN, MISOLAWAN",male,20,L
PUALAS,LANAO DEL SUR,"DIMAAYAO, ALYASSER",male,14,L
PUERTO PRINCESA CITY,PALAWAN,"BAYRON, LUCILO",male,56874,W
PUERTO PRINCESA CITY,PALAWAN,"HAGEDORN, EDWARD",male,40736,L
QUEZON,PALAWAN,"AYALA, JOY",female,12476,W
QUEZON,PALAWAN,"CAPUTILLA, GENEL",male,7294,L
QUEZON,PALAWAN,"ALAM, MADZ",male,2890,L
QUEZON,PALAWAN,"CABALLES, RODELIO",male,939,L
QUEZON,PALAWAN,"GABUCO, JELLY",female,255,L
RIZAL (MARCOS),PALAWAN,"ONG, NORMAN",male,8005,W
RIZAL (MARCOS),PALAWAN,"NOBLEZA, ALRIE",male,7748,L
RIZAL (MARCOS),PALAWAN,"DEGILLO, CLARA",female,517,L
RIZAL (MARCOS),PALAWAN,"VICENTE, MIKE",male,178,L
RIZAL (MARCOS),PALAWAN,"MONTAÑO, NICOLAS SR.",male,127,L
RIZAL (MARCOS),PALAWAN,"BESAGA, JODGIE",male,53,L
RIZAL (MARCOS),PALAWAN,"ARENDAIN, BIROY",male,19,L
ROSALES,PANGASINAN,"CASARENO, SUSAN",female,19140,W
ROSALES,PANGASINAN,"REVITA, RICARDO",male,12527,L
ROSALES,PANGASINAN,"CASANOVA, CEZAR",male,684,L
ROXAS,PALAWAN,"SABANDO, MARIA ANGELA",female,15010,W
ROXAS,PALAWAN,"SABANDO, MA. ELIZABETH",female,12619,L
ROXAS,PALAWAN,"GOLIFARDO, ANDREW",male,603,L
ROXAS,PALAWAN,"CORRAL, MARIBEL",female,312,L
ROXAS,PALAWAN,"GELLIANG, SALVADOR",male,305,L
SAGAY,CAMIGUIN,"UAYAN, JOSEPH",male,4771,W
SAGAY,CAMIGUIN,"CAMAY, AL",male,1544,L
SAGAY,CAMIGUIN,"NUEVAS, CARLITO",male,254,L
SAGAY,CAMIGUIN,"VALLAR, ARMI",male,57,L
SAGUIARAN,LANAO DEL SUR,"MUTI, MACMOD",male,8394,W
SAGUIARAN,LANAO DEL SUR,"MACABAGO, SABDULLAH",male,7490,L
SAGUIARAN,LANAO DEL SUR,"MARAORAO, AMER",male,58,L
SAGUIARAN,LANAO DEL SUR,"SALACOP, JAMAEL",male,21,L
SAGUIARAN,LANAO DEL SUR,"LININDING, KHALID",male,18,L
SAN CARLOS CITY,PANGASINAN,"RESUELLO, JOSERES",male,46053,W
SAN CARLOS CITY,PANGASINAN,"SORIANO, WILHELM",male,26279,L
SAN CARLOS CITY,PANGASINAN,"CAYABYAB, AMELIA",female,4594,L
SAN FABIAN,PANGASINAN,"AGBAYANI, CONSTANTE",male,24383,W
SAN FABIAN,PANGASINAN,"LIBUNAO, JAMING",male,12588,L
SAN FERNANDO CITY,PAMPANGA,"SANTIAGO, EDWIN",male,92682,W
SAN JACINTO,PANGASINAN,"DE VERA, ROBERT",male,13159,W
SAN JACINTO,PANGASINAN,"GARCIA, JOSEPH",male,4929,L
SAN JACINTO,PANGASINAN,"ABARCAR, GERRY",male,618,L
SAN JUAN,SIQUIJOR,"OCAY, DODONG",male,4312,W
SAN JUAN,SIQUIJOR,"CAPUNDAG, WILFREDO JR",male,3786,L
SAN LORENZO,GUIMARAS,"GAJO, NINFA",female,6242,W
SAN LORENZO,GUIMARAS,"QUEZON-SOBREVEGA, ATTY",female,5147,L
SAN LORENZO,GUIMARAS,"GANANCIAL, ELMER BOS",male,630,L
